FID,Geocodigo,Nome,MoradDPPOTotFossaRudimBur,MoradDPPOTotFossaSeptOuFiltroNaoRede,MoradDPPOTotFossaSeptOuFiltroRede,MoradDPPOTotOutraForma,MoradDPPOTotRedeGeralPluv,MoradDPPOTotRedeGeralPluvFossaRede,MoradDPPOTotRioLagoCorregMar,MoradDPPOTotSemBanhOuSanit,MoradDPPOTotVala,PercMoradDPPOTotFossaRudimBur,PercMoradDPPOTotFossaSeptOuFiltroNaoRede,PercMoradDPPOTotFossaSeptOuFiltroRede,PercMoradDPPOTotOutraForma,PercMoradDPPOTotRedeGeralPluv,PercMoradDPPOTotRedeGeralPluvFossaRede,PercMoradDPPOTotRioLagoCorregMar,PercMoradDPPOTotSemBanhOuSanit,PercMoradDPPOTotVala,MoradDPPOTot
sidra_9397_PercMoradDPPOTotRedeGeralPluvFossaRede_munic_22_pol.fid-703dc0a5_1918b5ed854_a9b,1100023,Ariquemes (RO),63219,30588,1410,77,624,2034,50,19,165,65.75,31.81,1.47,0.08,0.65,2.12,0.05,0.02,0.17,96152
sidra_9397_PercMoradDPPOTotRedeGeralPluvFossaRede_munic_22_pol.fid-703dc0a5_1918b5ed854_a9c,1100031,Cabixi (RO),4547,726,12,,62,74,,,4,84.97,13.57,0.22,,1.16,1.38,,,0.07,5351
sidra_9397_PercMoradDPPOTotRedeGeralPluvFossaRede_munic_22_pol.fid-703dc0a5_1918b5ed854_a9d,1100049,Cacoal (RO),18989,10468,1045,83,55569,56614,125,38,177,21.95,12.1,1.21,0.1,64.25,65.45,0.14,0.04,0.2,86494
sidra_9397_PercMoradDPPOTotRedeGeralPluvFossaRede_munic_22_pol.fid-703dc0a5_1918b5ed854_a9e,1100056,Cerejeiras (RO),2083,4605,258,6,8844,9102,2,,,13.19,29.15,1.63,0.04,55.98,57.61,0.01,,,15798
sidra_9397_PercMoradDPPOTotRedeGeralPluvFossaRede_munic_22_pol.fid-703dc0a5_1918b5ed854_a9f,1100015,Alta Floresta D'Oeste (RO),17364,3819,84,15,17,101,15,26,100,80.99,17.81,0.39,0.07,0.08,0.47,0.07,0.12,0.47,21440
sidra_9397_PercMoradDPPOTotRedeGeralPluvFossaRede_munic_22_pol.fid-703dc0a5_1918b5ed854_aa0,1100064,Colorado do Oeste (RO),10426,4772,160,25,222,382,29,1,28,66.56,30.47,1.02,0.16,1.42,2.44,0.19,0.01,0.18,15663
sidra_9397_PercMoradDPPOTotRedeGeralPluvFossaRede_munic_22_pol.fid-703dc0a5_1918b5ed854_aa1,1100072,Corumbiara (RO),7212,194,2,5,52,54,1,15,22,96.12,2.59,0.03,0.07,0.69,0.72,0.01,0.2,0.29,7503
sidra_9397_PercMoradDPPOTotRedeGeralPluvFossaRede_munic_22_pol.fid-703dc0a5_1918b5ed854_aa2,1100080,Costa Marques (RO),10531,1856,4,77,2,6,,45,11,84.07,14.82,0.03,0.61,0.02,0.05,,0.36,0.09,12526
sidra_9397_PercMoradDPPOTotRedeGeralPluvFossaRede_munic_22_pol.fid-703dc0a5_1918b5ed854_aa3,1100098,Espigão D'Oeste (RO),19146,7216,555,107,1331,1886,670,70,234,65.28,24.6,1.89,0.36,4.54,6.43,2.28,0.24,0.8,29329
sidra_9397_PercMoradDPPOTotRedeGeralPluvFossaRede_munic_22_pol.fid-703dc0a5_1918b5ed854_aa4,1100106,Guajará-Mirim (RO),22207,10642,325,643,2713,3038,60,1426,947,57,27.31,0.83,1.65,6.96,7.8,0.15,3.66,2.43,38963
sidra_9397_PercMoradDPPOTotRedeGeralPluvFossaRede_munic_22_pol.fid-703dc0a5_1918b5ed854_aa5,1100114,Jaru (RO),35855,13124,312,142,564,876,189,7,161,71.21,26.06,0.62,0.28,1.12,1.74,0.38,0.01,0.32,50354
sidra_9397_PercMoradDPPOTotRedeGeralPluvFossaRede_munic_22_pol.fid-703dc0a5_1918b5ed854_aa6,1100122,Ji-Paraná (RO),74486,37439,1820,245,7733,9553,1241,144,644,60.19,30.25,1.47,0.2,6.25,7.72,1,0.12,0.52,123752
sidra_9397_PercMoradDPPOTotRedeGeralPluvFossaRede_munic_22_pol.fid-703dc0a5_1918b5ed854_aa7,1100130,Machadinho D'Oeste (RO),27614,1771,12,30,867,879,2,97,35,90.75,5.82,0.04,0.1,2.85,2.89,0.01,0.32,0.12,30428
sidra_9397_PercMoradDPPOTotRedeGeralPluvFossaRede_munic_22_pol.fid-703dc0a5_1918b5ed854_aa8,1100148,Nova Brasilândia D'Oeste (RO),12365,2193,74,11,992,1066,12,6,21,78.89,13.99,0.47,0.07,6.33,6.8,0.08,0.04,0.13,15674
sidra_9397_PercMoradDPPOTotRedeGeralPluvFossaRede_munic_22_pol.fid-703dc0a5_1918b5ed854_aa9,1100155,Ouro Preto do Oeste (RO),28041,4775,359,53,334,693,1131,7,133,80.5,13.71,1.03,0.15,0.96,1.99,3.25,0.02,0.38,34833
